chr	pos	alpha A	beta A	alpha T	beta T	alpha G	beta G	alpha C	beta C
chr1	36466310	4.16667	29749.5	1.16667	29752.5	0	0	0.5	29753.2
chr1	36466311	4.16667	29714.8	3.16667	29715.8	2.83333	29716.2	0	0
chr1	36466312	0.166667	24377.5	0	0	1.16667	30506.8	5.83333	30502.2
chr1	36466313	12.8475	42856.6	4.83333	29470.2	1.83333	29473.2	0	0
chr1	36466314	0	0	0.5	31092.8	4.5	31088.8	2.83333	31090.5
chr1	36466315	1.83333	31715.2	2.5	31714.5	0	0	0.833333	31716.2
chr1	36466316	0.5	30828.5	1.16667	33760.2	0	0	0.166667	33761.2
chr1	36466317	3.5	33382.2	3.16667	33382.5	2.83333	33382.8	0	0
chr1	36466318	5.83333	34786.8	0.833333	34791.8	0.833333	34791.8	0	0
chr1	36466319	6.5	33008.8	0	0	2.8884	4432.53	3.64012	6159.42
chr1	36466320	4.28791	9063.52	0	0	13.2126	23477.1	3.5006	9901.72
chr1	36466321	0.166667	36129.2	0	0	1.16667	36128.2	0.166667	36129.2
chr1	36466322	0	0	0.5	36618.2	3.5	36615.2	0.833333	36617.8
chr1	36466323	0	0	0.5	37344.2	0.166667	37344.5	0.833333	37343.8
chr1	36466324	1.16667	38373.5	1.16667	38373.5	0	0	0.166667	38374.5
chr1	36466325	0	0	1.83333	35021.8	2.83333	35020.8	8.5	35015.2
chr1	36466326	0.833333	35534.2	0.833333	39049.2	0	0	0.166667	35306.8
chr1	36466327	5.83333	39364.8	1.5	39369.2	0	0	0.5	39370.2
chr1	36466328	9.9424	15047.7	9.08438	13394.1	41.8879	66022	0	0
chr1	36466329	0	0	3.16667	37278.8	6.5	37275.5	10.8333	37271.2
chr1	36466330	1.16667	40378.8	1.83333	40378.2	0	0	0.166667	40379.8
chr1	36466331	3.83333	39081.5	3.16667	39082.2	0	0	1.83333	39083.5
chr1	36466332	0.166667	42220.2	2.5	42217.8	0.166667	42220.2	0	0
chr1	36466333	1.83333	42282.5	2.83333	42281.5	0.166667	38458.2	0	0
chr1	36466334	2.83333	42837.5	2.16667	42838.2	0.5	42839.8	0	0
chr1	36466335	0	0	7.64973	23188.3	6.90235	33736.9	8.40625	4436.85
chr1	36466336	0	0	0.166667	40644.8	0.5	45200.5	0.5	45200.5
chr1	36466337	0.5	46155.5	0.5	46155.5	0	0	0.166667	46155.8
chr1	36466338	0	0	4.16667	43236.2	0.5	43239.8	3.16667	43237.2
chr1	36466339	0	0	0.5	45838.5	0.166667	45838.8	0.833333	45838.2
chr1	36466340	21.8333	44373.2	9.2486	15484.8	0	0	24.2253	49234.4
chr1	36466341	0.841871	4586.43	6.16667	46309.5	0	0	6.80972	44002
chr1	36466342	0.833333	46629.2	2.83333	46627.2	0	0	1.5	46628.5
chr1	36466343	0	0	0.5	44983.8	2.83333	44981.5	3.5	44980.8
chr1	36466344	0	0	0.166667	47211.2	0.833333	47210.5	0.166667	47211.2
chr1	36466345	1.16667	48508.8	0.166667	48509.8	0.5	48509.5	0	0
chr1	36466346	1.5	49405.8	0.833333	49406.5	0.166667	49407.2	0	0
chr1	36466347	8.16667	47092.8	2.83333	42488.5	2.5	47098.5	0	0
chr1	36466348	1.59355	10190.3	1.5	47966.5	0.833333	47967.2	0	0
chr1	36466349	0	0	2.16667	47478.5	5.16667	47475.5	11.7335	30655.2
chr1	36466350	0.5	40444.5	5.83333	51024.5	0	0	0.833333	51029.5
chr1	36466351	1.5	51871.2	1.16667	51871.5	0	0	0.833333	51871.8
chr1	36466352	0	0	1.16667	47134.8	3.5	47132.5	7.16667	47128.8
chr1	36466353	0	0	0.5	51064.8	1.83333	51063.5	0.833333	51064.5
chr1	36466354	0.166667	51384.8	2.5	51382.5	0	0	0.5	51384.5
chr1	36466355	2.1766	10394.9	2.48006	17623	7.16667	48556.5	0	0
chr1	36466356	3.83333	51684.5	1.83333	51686.5	2.16667	51686.2	0	0
chr1	36466357	4.47476	5833.81	5.48601	13320.6	6.29149	18605.3	0	0
chr1	36466358	35.7305	113313	0	0	10.7883	16493.1	3.72152	5467.28
chr1	36466359	0	0	0.5	53285.8	3.16667	53283.2	4.16667	53282.2
chr1	36466360	0.166667	55395.8	1.5	55394.5	0	0	0.166667	55395.8
chr1	36466361	0	0	1.5	52175.8	3.83333	52173.5	5.16667	52172.2
chr1	36466362	0	0	4.5	53663.5	10.5	53657.5	14.5	53653.5
chr1	36466363	5.16667	55758.2	2.5	55760.8	0	0	0.166667	55763.2
chr1	36466364	2.16667	53729.8	1.16667	53730.8	1.5	53730.5	0	0
chr1	36466365	2.08918	4489.83	0	0	4.10227	5698.28	6.2651	5650.53
chr1	36466366	12.0143	29399	10.5	53437.5	5.85709	28891	0	0
chr1	36466367	59.5	51848.8	5.56046	7427.08	7.43501	9681.41	0	0
chr1	36466368	2.5	55952.5	1.5	55953.5	1.16667	55953.8	0	0
chr1	36466369	1.16667	57237.8	0.833333	57238.2	0.166667	57238.8	0	0
chr1	36466370	0	0	14.1803	33572.8	47.8333	52455.5	23.2282	24781.3
chr1	36466371	1.5	49396.2	1.16667	56901.8	0	0	0.166667	56902.8
chr1	36466372	8.83333	55838.2	5.93497	21377.9	0.852528	5829.08	0	0
chr1	36466373	1.01283	3685.39	4.16667	55197.8	0	0	4.83333	55197.2
chr1	36466374	2.16667	56958.5	2.5	56958.2	0.5	56960.2	0	0
chr1	36466375	4.16667	56097.2	3.5	56097.8	2.5	56098.8	0	0
chr1	36466376	9.46471	7314.31	0	0	8.07732	4736.35	2.92724	1087.07
chr1	36466377	2.16667	57701.8	0.5	45477.5	0.5	57703.5	0	0
chr1	36466378	4.5	56122.8	2.16667	56125.2	2.5	56124.8	0	0
chr1	36466379	0	0	1.16667	56906.2	0.5	48619.5	3.5	56903.8
chr1	36466380	0.166667	57562.5	0	0	0.833333	57561.8	0.5	57562.2
chr1	36466381	6.16667	55978.5	1.83333	55982.8	1.16667	55983.5	0	0
chr1	36466382	3.5	59464.2	3.5	59464.2	0.166667	59467.5	0	0
chr1	36466383	3.5	59679.8	1.5	59681.8	0.166667	59683.2	0	0
chr1	36466384	0	0	1.16667	54556.5	2.83333	54554.8	11.2738	14461
chr1	36466385	4.72087	20214.5	0	0	13.6063	20267	1.14563	3256.22
chr1	36466386	4.83333	57740.5	3.5	57741.8	0	0	1.16667	57744.2
chr1	36466387	0.166667	58129.2	2.83333	58126.5	0	0	1.16667	58128.2
chr1	36466388	0	0	0.5	55948.8	0.327138	2152.98	5.83333	55943.5
chr1	36466389	2.5	57041.8	0.166667	45096.5	0.166667	57044.2	0	0
chr1	36466390	2.83333	58176.5	1.83333	52634.8	0.833333	58178.5	0	0
chr1	36466391	2.83333	57426.8	1.83333	57427.8	1.16667	57428.5	0	0
chr1	36466392	1.7206	13344.5	5.83333	55583.8	0	0	4.16667	55585.5
chr1	36466393	0.166667	46411.5	0.5	58548.8	0	0	0.5	58548.8
chr1	36466394	0	0	1.83333	52645.8	3.83333	52643.8	5.74486	14512
chr1	36466395	0.166667	56315.8	0	0	4.16667	56311.8	0.5	56315.5
chr1	36466396	11.478	11947.3	14.9177	13687.7	25.1667	49117.2	0	0
chr1	36466397	8.70456	7586.13	8.32151	12185.4	7.09352	10192	0	0
chr1	36466398	7.30921	13733.7	5.43987	18187.4	4.64225	14893.4	0	0
chr1	36466399	5.27311	35154.7	4.83333	54448.8	4.83333	54448.8	0	0
chr1	36466400	0.833333	56566.5	0	0	3.83333	56563.5	2.90125	15627.2
chr1	36466401	1.58798	8273.14	2.16667	58185.5	0	0	0.5	58187.2
chr1	36466402	2.16667	58194.5	1.36163	7094.99	0.166667	58196.5	0	0
chr1	36466403	0	0	0.166667	56150.5	1.23078	3316.01	7.16667	56143.5
chr1	36466404	1.16667	55966.8	1.5	55966.5	0	0	0.5	55967.5
chr1	36466405	0.166667	50404.8	0.5	57988.5	0	0	0.166667	57988.8
chr1	36466406	0	0	0.833333	54191.8	3.63084	28791.2	4.36878	27849.3
chr1	36466407	0.166667	55096.8	2.16667	55094.8	0	0	0.166667	55096.8
chr1	36466408	0.5	55322.5	0.833333	55322.2	0	0	0.166667	55322.8
chr1	36466409	2.83333	54681.2	0.5	43299.5	0	0	0.5	54683.5
chr1	36466410	1.16667	55623.5	0.5	55624.2	0	0	0.166667	55624.5
chr1	36466411	1.5	54710.8	0.166667	54712.2	0	0	0.5	54711.8
chr1	36466412	0	0	1.16667	48576.5	16.1667	52988.2	11.1667	52993.2
chr1	36466413	0	0	0.166667	49507.5	2.16667	56961.2	0.5	56962.8
chr1	36466414	1.83333	56071.8	0.5	56073.2	0	0	0.5	56073.2
chr1	36466415	1.16667	53301.8	0	0	12.8333	53290.2	2.83333	53300.2
chr1	36466416	6.16667	54888.5	0	0	2.83333	54891.8	4.16667	54890.5
chr1	36466417	2.16667	53881.8	3.83333	53880.2	0	0	1.16667	53882.8
