chr	pos	alpha A	beta A	alpha T	beta T	alpha G	beta G	alpha C	beta C
chr1	36466310	0.166667	5868.17	0.166667	5868.17	0	0	0.166667	5868.17
chr1	36466311	0.166667	5885.83	0.166667	5885.83	0.166667	5885.83	0	0
chr1	36466312	0.166667	6014.83	0	0	0.166667	6014.83	0.166667	6014.83
chr1	36466313	0.166667	5916.17	0.166667	5916.17	0.166667	5916.17	0	0
chr1	36466314	0	0	0.166667	6117.83	0.166667	6117.83	0.166667	6117.83
chr1	36466315	0.166667	6299.5	0.166667	6299.5	0	0	0.166667	6299.5
chr1	36466316	0.5	6623.17	0.166667	6623.5	0	0	0.166667	6623.5
chr1	36466317	0.166667	6590.83	0.166667	6590.83	0.166667	6590.83	0	0
chr1	36466318	0.166667	6855.5	0.166667	6855.5	0.166667	6855.5	0	0
chr1	36466319	0.166667	6583.83	0	0	0.166667	6583.83	0.166667	6583.83
chr1	36466320	0.166667	6664.17	0	0	0.166667	6664.17	0.166667	6664.17
chr1	36466321	0.166667	7083.83	0	0	0.166667	7083.83	0.166667	7083.83
chr1	36466322	0	0	0.166667	7134.5	0.5	7134.17	0.166667	7134.5
chr1	36466323	0	0	0.166667	7273.17	0.166667	7273.17	0.166667	7273.17
chr1	36466324	0.166667	7506.5	0.166667	7506.5	0	0	0.166667	7506.5
chr1	36466325	0	0	0.5	6887.17	0.5	6887.17	0.166667	6887.5
chr1	36466326	0.5	7642.17	0.166667	7642.5	0	0	0.166667	7642.5
chr1	36466327	0.166667	7721.5	0.166667	7721.5	0	0	0.166667	7721.5
chr1	36466328	0.166667	7625.17	0.833333	7624.5	0.166667	7625.17	0	0
chr1	36466329	0	0	0.166667	7362.5	0.5	7362.17	0.166667	7362.5
chr1	36466330	0.166667	7931.5	0.166667	7931.5	0	0	0.166667	7931.5
chr1	36466331	0.5	7733.17	0.166667	7733.5	0	0	0.166667	7733.5
chr1	36466332	0.166667	8282.5	0.166667	8282.5	0.166667	8282.5	0	0
chr1	36466333	0.166667	8298.17	0.166667	8298.17	0.166667	8298.17	0	0
chr1	36466334	0.166667	8440.5	0.166667	8440.5	0.166667	8440.5	0	0
chr1	36466335	0	0	0.166667	7954.17	0.166667	7954.17	0.166667	7954.17
chr1	36466336	0	0	0.166667	8805.17	0.166667	8805.17	0.166667	8805.17
chr1	36466337	0.166667	9062.17	0.166667	9062.17	0	0	0.166667	9062.17
chr1	36466338	0	0	0.166667	8474.17	0.166667	8474.17	0.166667	8474.17
chr1	36466339	0	0	0.166667	8958.5	0.166667	8958.5	0.166667	8958.5
chr1	36466340	0.5	8841.17	0.166667	8841.5	0	0	0.166667	8841.5
chr1	36466341	0.166667	9124.5	0.166667	9124.5	0	0	0.166667	9124.5
chr1	36466342	0.166667	9161.83	0.166667	9161.83	0	0	0.166667	9161.83
chr1	36466343	0	0	0.166667	8843.17	0.166667	8843.17	0.166667	8843.17
chr1	36466344	0	0	0.166667	9221.5	0.166667	9221.5	0.166667	9221.5
chr1	36466345	0.166667	9563.5	0.166667	9563.5	0.166667	9563.5	0	0
chr1	36466346	0.166667	9662.5	0.166667	9662.5	0.166667	9662.5	0	0
chr1	36466347	0.166667	9280.5	0.166667	8179.83	0.166667	9280.5	0	0
chr1	36466348	0.166667	9464.83	0.166667	9464.83	0.166667	9464.83	0	0
chr1	36466349	0	0	0.166667	9352.83	0.166667	9352.83	0.166667	9352.83
chr1	36466350	0.166667	9985.5	0.166667	9985.5	0	0	0.166667	9985.5
chr1	36466351	0.166667	10176.8	0.166667	10176.8	0	0	0.166667	10176.8
chr1	36466352	0	0	0.166667	9301.5	0.166667	9301.5	0.166667	9301.5
chr1	36466353	0	0	0.166667	9978.5	0.5	9978.17	0.166667	9978.5
chr1	36466354	0.166667	10084.8	0.166667	10084.8	0	0	0.166667	10084.8
chr1	36466355	0.166667	9603.17	0.166667	9603.17	0.166667	9603.17	0	0
chr1	36466356	0.166667	10213.8	0.166667	10213.8	0.166667	10213.8	0	0
chr1	36466357	0.166667	9898.17	0.833333	9897.5	0.166667	9898.17	0	0
chr1	36466358	0.166667	9981.17	0	0	0.166667	9981.17	0.166667	9981.17
chr1	36466359	0	0	0.166667	10505.2	0.166667	10505.2	0.166667	10505.2
chr1	36466360	0.166667	10929.5	0.166667	10929.5	0	0	0.166667	10929.5
chr1	36466361	0	0	0.166667	10288.8	0.166667	10288.8	0.166667	10288.8
chr1	36466362	0	0	0.166667	10657.8	0.166667	10657.8	0.166667	10657.8
chr1	36466363	0.833333	11006.8	0.166667	11007.5	0	0	0.166667	11007.5
chr1	36466364	0.166667	10691.8	0.166667	10691.8	0.166667	10691.8	0	0
chr1	36466365	0.166667	10004.5	0	0	0.166667	10004.5	0.166667	10004.5
chr1	36466366	0.166667	10677.2	0.166667	10677.2	0.166667	10677.2	0	0
chr1	36466367	0.166667	10410.5	0.833333	8959.83	0.5	10410.2	0	0
chr1	36466368	0.166667	11106.8	0.166667	11106.8	0.166667	11106.8	0	0
chr1	36466369	0.166667	11344.5	0.166667	11344.5	0.166667	11344.5	0	0
chr1	36466370	0	0	0.166667	10627.5	0.166667	10627.5	0.166667	10627.5
chr1	36466371	0.166667	9975.17	0.166667	11282.5	0	0	0.166667	11282.5
chr1	36466372	0.166667	11169.8	0.5	11169.5	0.166667	11169.8	0	0
chr1	36466373	1.16667	10904.2	0.166667	10905.2	0	0	0.166667	10905.2
chr1	36466374	0.166667	11287.8	0.166667	11287.8	0.166667	11287.8	0	0
chr1	36466375	0.166667	11092.8	0.166667	11092.8	0.166667	11092.8	0	0
chr1	36466376	0.5	10322.2	0	0	0.166667	10322.5	0.833333	9457.5
chr1	36466377	0.166667	11413.8	0.833333	11413.2	0.166667	11413.8	0	0
chr1	36466378	0.166667	11190.5	0.166667	11190.5	0.166667	11190.5	0	0
chr1	36466379	0	0	0.166667	11172.5	0.166667	11172.5	0.166667	11172.5
chr1	36466380	0.166667	11369.2	0	0	0.166667	11369.2	0.166667	11369.2
chr1	36466381	0.166667	11039.8	0.166667	11039.8	0.166667	11039.8	0	0
chr1	36466382	0.166667	11734.8	0.5	11734.5	0.166667	11734.8	0	0
chr1	36466383	0.166667	11758.5	0.166667	11758.5	0.166667	11758.5	0	0
chr1	36466384	0	0	0.166667	10792.5	0.166667	10792.5	0.166667	10792.5
chr1	36466385	0.166667	11245.2	0	0	0.833333	11244.5	0.166667	9649.83
chr1	36466386	0.166667	11415.8	0.166667	11415.8	0	0	0.166667	11415.8
chr1	36466387	0.166667	11499.2	0.166667	11499.2	0	0	0.166667	11499.2
chr1	36466388	0	0	0.166667	11014.5	1.5	11013.2	0.833333	11013.8
chr1	36466389	0.166667	11247.2	0.833333	11246.5	0.166667	11247.2	0	0
chr1	36466390	0.166667	11476.8	0.833333	11476.2	0.166667	11476.8	0	0
chr1	36466391	0.166667	11373.8	0.166667	11373.8	0.166667	11373.8	0	0
chr1	36466392	0.166667	11039.5	0.166667	11039.5	0	0	0.166667	11039.5
chr1	36466393	0.833333	11580.5	0.166667	11581.2	0	0	0.166667	11581.2
